t_id,marca,identificador,tipo,peso
45977,26,M48N82K68G80V76K69L48U48M49L50J80T71,0,632.4019961290646
11971,30,M48O82K68G80V76K69L48U49R49L51J80T71,0,457.8174572292503
8021,26,M48S82K68G80V76K69L49L48M49L55J80T71,0,536.067902960639
67738,32,M48T82K68G80V76K69L49L48R49L56J80T71,0,417.90984472724745
53925,15,M48U82K68G80V76K69L49L50M49L57J80T71,0,494.05601023122284
35962,13,M49L82K68G80V76K69L49L51R49M48J80T71,0,457.82521909830604
35963,15,M49M82K68G80V76K69L49L56M49M49J80T71,0,467.4832112984154
8022,12,M49N82K68G80V76K69L49L57R49M50J80T71,0,388.0045531544665
22037,30,M49O82K68G80V76K69L49M48M49M51J80T71,0,642.9959753863143
38001,23,M49B69J65V80R69K48P57L49J80T71,0,608.4130377727932
57898,15,M50L82K68G80V76K69L49N55R49N48J80T71,0,435.4955060948746
14030,28,M50M82K68G80V76K69L49N57M49N49J80T71,0,451.8443061623565
6030,17,M50N82K68G80V76K69L49O48M49N50J80T71,0,623.9350298805357
17,3,M51L82K68G80V76K69L49P49M49O48J80T71,0,520.4876147133066
18038,6,M51N82K68G80V76K69L49P52M49O50J80T71,0,429.2462265457335
26034,11,M51P82K68G80V76K69L49P55M49O52J80T71,0,443.3261542989036
4046,12,M51Q82K68G80V76K69L49P56R49O53J80T71,0,533.5386897869619
29992,24,M51R82K68G80V76K69L49Q48M49O54J80T71,0,439.3143920346344
31942,2,M51S82K68G80V76K69L49Q49R49O55J80T71,0,385.2632964273747
14031,0,M52M82K68G80V76K69L49Q55R49P49J80T71,0,408.49626705790365
28031,11,M52O82K68G80V76K69L49R48R49P51J80T71,0,543.0344436023456
51970,10,M52P82K68G80V76K69L49R50M49P52J80T71,0,681.3409713405186
8023,25,M52Q82K68G80V76K69L49R51R49P53J80T71,0,464.0917624048853
18,5,M52R82K68G80V76K69L49S48M49P54J80T71,0,266.7778147510357
22038,22,M52S82K68G80V76K69L49S50R49P55J80T71,0,393.82783031400993
50014,31,M52T82K68G80V76K69L49S52M49P56J80T71,0,472.12339268140613
28032,31,M52U82K68G80V76K69L49S56R49P57J80T71,0,506.08441111384144
35964,8,M52B69J65V80R69K48Q50L49J80T71,0,400.51608669768285
19,14,M53L82K68G80V76K69L49T48M49Q48J80T71,0,513.4755560747417
35965,33,M53N82K68G80V76K69L49T51M49Q50J80T71,0,590.8646812819914
48008,10,M53O82K68G80V76K69L49T52R49Q51J80T71,0,306.42084657030136
48009,22,M53P82K68G80V76K69L49T54M49Q52J80T71,0,782.7131186203735
31943,12,M53S82K68G80V76K69L49U48M49Q55J80T71,0,512.0689790148652
18039,5,M53T82K68G80V76K69L49U48R49Q56J80T71,0,675.588809423017
48010,5,M53U82K68G80V76K69L49U50M49Q57J80T71,0,409.2377192731685
22039,10,M53B69J65V80R69K48Q51L49J80T71,0,463.23287831579
28033,11,M54L82K68G80V76K69L49U51R49R48J80T71,0,610.3361561370089
41990,2,M54M82K68G80V76K69L49U54R49R49J80T71,0,440.85510479746625
24007,18,M54N82K68G80V76K69L49U57R49R50J80T71,0,328.07068011333604
67739,17,M54O82K68G80V76K69L50L48M49R51J80T71,0,575.5439913712357
31944,28,M54P82K68G80V76K69L50L50R49R52J80T71,0,517.5198555390357
24008,21,M54Q82K68G80V76K69L50L53R49R53J80T71,0,476.40109350251913
11972,2,M54R82K68G80V76K69L50L55M49R54J80T71,0,454.28017231514184
20,13,M54S82K68G80V76K69L50L56R49R55J80T71,0,443.35391528261516
50015,1,M54T82K68G80V76K69L50M48M49R56J80T71,0,570.9833301721002
10023,15,M54U82K68G80V76K69L50M49R49R57J80T71,0,636.9251454790776
6031,19,M55L82K68G80V76K69L50M54M49S48J80T71,0,702.0035926101547
