número_asignado_marca,marca
0,ParaísoFrutal
1,TropicalSabor
2,DeliciaNaturaleza
3,EmbrujoFrutal
4,ExóticoManjar
5,SinfoníaDelicias
6,PlacerFrutado
7,CítricosSelectos
8,RicoBosque
9,AromasCelestiales
10,RincónFrutas
11,GourmetFrutas
12,CosechaDivina
13,JugosoAroma
14,SabrosoEdén
15,DulzuraSilvestre
16,PaladarDorado
17,FrescuraMágica
18,EncantoNativo
19,MaravillaJugosa
20,FrescoDelValle
21,FrescuraInigualable
22,DulceEncanto
23,ArteFrutal
24,FantasíaDelicia
25,VibranteSabores
26,TesoroNaturaleza
27,ManjarFruity
28,SaborNativo
29,DeliciosoEdén
30,AventuraFrutal
31,ExquisitoJardín
32,FrutaDulce
33,FiestaSabor
34,BrisaFrutal
